Время;Канал A
(с);(В)

-2,20164997;-0,00094607
-2,20159997;-0,00094607
-2,20154997;-0,00094607
-2,20149997;-0,00094607
-2,20144997;-0,00094607
-2,20139997;-0,00094607
-2,20134997;-0,00094607
-2,20129997;-0,00094607
-2,20124997;-0,00094607
-2,20119997;0,00799585
-2,20114997;0,00799585
-2,20109997;-0,00094607
-2,20104997;-0,00094607
-2,20099997;0,00799585
-2,20094997;0,00799585
-2,20089997;-0,00094607
-2,20084997;-0,00094607
-2,20079997;0,00799585
-2,20074997;-0,00094607
-2,20069997;-0,00094607
-2,20064997;-0,00094607
-2,20059997;-0,00094607
-2,20054997;0,00799585
-2,20049997;0,00799585
-2,20044997;0,00799585
-2,20039997;-0,00094607
-2,20034997;0,00799585
-2,20029997;-0,00094607
-2,20024997;0,00799585
-2,20019997;-0,00094607
-2,20014997;-0,00094607
-2,20009997;-0,00094607
-2,20004997;-0,00094607
-2,19999997;-0,00094607
-2,19994997;0,00799585
-2,19989997;-0,00094607
-2,19984997;0,00799585
-2,19979997;-0,00094607
-2,19974997;-0,00094607
-2,19969997;0,00799585
-2,19964997;-0,00094607
-2,19959997;0,00799585
-2,19954997;-0,00094607
-2,19949997;-0,00094607
-2,19944997;-0,00094607
-2,19939997;-0,00094607
-2,19934997;-0,00094607
-2,19929997;-0,00094607
-2,19924997;-0,00094607
-2,19919997;0,00799585
-2,19914997;0,00799585
-2,19909997;0,00799585
-2,19904997;0,00799585
-2,19899997;-0,00094607
-2,19894997;0,00799585
-2,19889997;-0,00094607
-2,19884997;-0,00094607
-2,19879997;-0,00094607
-2,19874997;-0,00094607
-2,19869997;-0,00094607
-2,19864997;-0,00094607
-2,19859997;-0,00094607
-2,19854997;-0,00094607
-2,19849997;-0,00094607
-2,19844997;0,00799585
-2,19839997;0,00799585
-2,19834997;0,00799585
-2,19829997;-0,00094607
-2,19824997;-0,00094607
-2,19819997;-0,00094607
-2,19814997;-0,00094607
-2,19809997;0,00799585
-2,19804997;0,00799585
-2,19799997;-0,00094607
-2,19794997;-0,00094607
-2,19789997;-0,00094607
-2,19784997;0,00799585
-2,19779997;0,00799585
-2,19774997;-0,00094607
-2,19769997;-0,00094607
-2,19764997;-0,00094607
-2,19759997;-0,00094607
-2,19754997;0,00799585
-2,19749997;-0,00094607
-2,19744997;-0,00094607
-2,19739997;-0,00094607
-2,19734997;-0,00094607
-2,19729997;-0,00094607
-2,19724997;-0,00094607
-2,19719997;-0,00094607
-2,19714997;0,00799585
-2,19709997;-0,00094607
-2,19704997;0,00799585
-2,19699997;-0,00094607
-2,19694997;-0,00094607
-2,19689997;-0,00094607
-2,19684997;-0,00094607
-2,19679997;0,00799585
-2,19674997;-0,00094607
-2,19669997;-0,00094607
-2,19664997;-0,00094607
-2,19659997;-0,00094607
-2,19654997;-0,00094607
-2,19649997;0,00799585
-2,19644997;-0,00094607
-2,19639997;-0,00094607
-2,19634997;-0,00094607
-2,19629997;-0,00094607
-2,19624997;-0,00094607
-2,19619997;-0,00094607
-2,19614997;0,00799585
-2,19609997;0,00799585
-2,19604997;-0,00094607
-2,19599997;-0,00094607
-2,19594997;-0,00094607
-2,19589997;-0,00094607
-2,19584997;-0,00094607
-2,19579997;-0,00094607
-2,19574997;-0,00094607
-2,19569997;0,00799585
-2,19564997;-0,00094607
-2,19559997;-0,00094607
-2,19554997;0,00799585
-2,19549997;0,00799585
-2,19544997;-0,00094607
-2,19539997;-0,00094607
-2,19534997;-0,00094607
-2,19529997;-0,00094607
-2,19524997;-0,00094607
-2,19519997;0,00799585
-2,19514997;0,00799585
-2,19509997;-0,00094607
-2,19504997;-0,00094607
-2,19499997;-0,00094607
-2,19494997;-0,00094607
-2,19489997;0,00799585
-2,19484997;-0,00094607
-2,19479997;-0,00094607
-2,19474997;0,00799585
-2,19469997;-0,00094607
-2,19464997;-0,00094607
-2,19459997;-0,00094607
-2,19454997;0,00799585
-2,19449997;-0,00094607
-2,19444997;-0,00094607
-2,19439997;-0,00094607
-2,19434997;-0,00094607
-2,19429997;0,00799585
-2,19424997;-0,00094607
-2,19419997;-0,00094607
-2,19414997;-0,00094607
-2,19409997;-0,00094607
-2,19404997;-0,00094607
-2,19399997;0,00799585
-2,19394997;-0,00094607
-2,19389997;-0,00094607
-2,19384997;-0,00094607
-2,19379997;0,00799585
-2,19374997;-0,00094607
-2,19369997;-0,00094607
-2,19364997;-0,00094607
-2,19359997;0,00799585
-2,19354997;-0,00094607
-2,19349997;0,00799585
-2,19344997;-0,00094607
-2,19339997;-0,00094607
-2,19334997;-0,00094607
-2,19329997;0,00799585
-2,19324997;-0,00094607
-2,19319997;-0,00094607
-2,19314997;0,00799585
-2,19309997;-0,00094607
-2,19304997;-0,00094607
-2,19299997;-0,00094607
-2,19294997;-0,00094607
-2,19289997;0,00799585
-2,19284997;-0,00094607
-2,19279997;-0,00094607
-2,19274997;-0,00094607
-2,19269997;-0,00094607
-2,19264997;-0,00094607
-2,19259997;0,00799585
-2,19254997;0,00799585
-2,19249997;0,00799585
-2,19244997;0,00799585
-2,19239997;-0,00094607
-2,19234997;-0,00094607
-2,19229997;-0,00094607
-2,19224997;-0,00094607
-2,19219997;-0,00094607
-2,19214997;-0,00094607
-2,19209997;-0,00094607
-2,19204997;-0,00094607
-2,19199997;-0,00094607
-2,19194997;-0,00094607
-2,19189997;-0,00094607
-2,19184997;-0,00094607
-2,19179997;-0,00094607
-2,19174997;-0,00094607
-2,19169997;0,00799585
-2,19164997;0,00799585
-2,19159997;-0,00094607
-2,19154997;-0,00094607
-2,19149997;-0,00094607
-2,19144997;-0,00094607
-2,19139997;0,00799585
-2,19134997;0,00799585
-2,19129997;-0,00094607
-2,19124997;-0,00094607
-2,19119997;-0,00094607
-2,19114997;-0,00094607
-2,19109997;-0,00094607
-2,19104997;-0,00094607
-2,19099997;-0,00094607
-2,19094997;0,00799585
-2,19089997;-0,00094607
-2,19084997;0,00799585
-2,19079997;-0,00094607
-2,19074997;-0,00094607
-2,19069997;0,00799585
-2,19064997;-0,00094607
-2,19059997;0,00799585
-2,19054997;-0,00094607
-2,19049997;-0,00094607
-2,19044997;-0,00094607
-2,19039997;-0,00094607
-2,19034997;-0,00094607
-2,19029997;-0,00094607
-2,19024997;-0,00094607
-2,19019997;-0,00094607
-2,19014997;-0,00094607
-2,19009997;0,00799585
-2,19004997;-0,00094607
-2,18999997;-0,00094607
-2,18994997;-0,00094607
-2,18989997;0,00799585
-2,18984997;0,00799585
-2,18979997;-0,00094607
-2,18974997;-0,00094607
-2,18969997;-0,00094607
-2,18964997;-0,00094607
-2,18959997;0,00799585
-2,18954997;-0,00094607
-2,18949997;-0,00094607
-2,18944997;0,00799585
-2,18939997;0,00799585
-2,18934997;-0,00094607
-2,18929997;-0,00094607
-2,18924997;-0,00094607
-2,18919997;-0,00094607
-2,18914997;-0,00094607
-2,18909997;-0,00094607
-2,18904997;-0,00094607
-2,18899997;-0,00094607
-2,18894997;-0,00094607
-2,18889997;-0,00094607
-2,18884997;0,00799585
-2,18879997;-0,00094607
-2,18874997;-0,00094607
-2,18869997;0,00799585
-2,18864997;-0,00094607
-2,18859997;-0,00094607
